,Date,Close
5224,2018-02-16,1448.69
5225,2018-02-20,1468.35
5226,2018-02-21,1482.92
5227,2018-02-22,1485.34
5228,2018-02-23,1500.0
5229,2018-02-26,1521.95
5230,2018-02-27,1511.98
5231,2018-02-28,1512.45
5232,2018-03-01,1493.45
5233,2018-03-02,1500.25
5234,2018-03-05,1523.61
5235,2018-03-06,1537.64
5236,2018-03-07,1545.0
5237,2018-03-08,1551.86
5238,2018-03-09,1578.89
5239,2018-03-12,1598.39
5240,2018-03-13,1588.18
5241,2018-03-14,1591.0
5242,2018-03-15,1582.32
5243,2018-03-16,1571.68
5244,2018-03-19,1544.93
5245,2018-03-20,1586.51
5246,2018-03-21,1581.86
5247,2018-03-22,1544.92
5248,2018-03-23,1495.56
5249,2018-03-26,1555.86
5250,2018-03-27,1497.05
5251,2018-03-28,1431.42
5252,2018-03-29,1447.34
5253,2018-04-02,1371.99
5254,2018-04-03,1392.05
5255,2018-04-04,1410.57
5256,2018-04-05,1451.75
5257,2018-04-06,1405.23
5258,2018-04-09,1406.08
5259,2018-04-10,1436.22
5260,2018-04-11,1427.05
5261,2018-04-12,1448.5
5262,2018-04-13,1430.79
5263,2018-04-16,1441.5
5264,2018-04-17,1503.83
5265,2018-04-18,1527.84
5266,2018-04-19,1556.91
5267,2018-04-20,1527.49
5268,2018-04-23,1517.86
5269,2018-04-24,1460.09
5270,2018-04-25,1460.17
5271,2018-04-26,1517.96
5272,2018-04-27,1572.62
5273,2018-04-30,1566.13
5274,2018-05-01,1582.26
5275,2018-05-02,1569.68
5276,2018-05-03,1572.075
5277,2018-05-04,1580.95
5278,2018-05-07,1600.14
5279,2018-05-08,1592.39
5280,2018-05-09,1608.0
5281,2018-05-10,1609.08
5282,2018-05-11,1602.91
5283,2018-05-14,1601.54
5284,2018-05-15,1576.12
5285,2018-05-16,1587.28
5286,2018-05-17,1581.76
5287,2018-05-18,1574.37
5288,2018-05-21,1585.46
5289,2018-05-22,1581.4
5290,2018-05-23,1601.86
5291,2018-05-24,1603.07
5292,2018-05-25,1610.15
5293,2018-05-29,1612.87
5294,2018-05-30,1624.89
5295,2018-05-31,1629.62
5296,2018-06-01,1641.54
5297,2018-06-04,1665.27
5298,2018-06-05,1696.35
5299,2018-06-06,1695.75
5300,2018-06-07,1689.3
5301,2018-06-08,1683.99
5302,2018-06-11,1689.12
5303,2018-06-12,1698.75
5304,2018-06-13,1704.86
5305,2018-06-14,1723.86
5306,2018-06-15,1715.97
5307,2018-06-18,1723.79
5308,2018-06-19,1734.78
5309,2018-06-20,1750.08
5310,2018-06-21,1730.22
5311,2018-06-22,1715.67
5312,2018-06-25,1663.15
5313,2018-06-26,1691.09
5314,2018-06-27,1660.51
5315,2018-06-28,1701.45
5316,2018-06-29,1699.8
5317,2018-07-02,1713.78
5318,2018-07-03,1693.96
5319,2018-07-05,1699.73
5320,2018-07-06,1710.63
5321,2018-07-09,1739.02
5322,2018-07-10,1743.07
5323,2018-07-11,1755.0
5324,2018-07-12,1796.62
5325,2018-07-13,1813.03
5326,2018-07-16,1822.49
5327,2018-07-17,1843.93
5328,2018-07-18,1842.92
5329,2018-07-19,1812.97
5330,2018-07-20,1813.7
5331,2018-07-23,1802.0
5332,2018-07-24,1829.24
5333,2018-07-25,1863.61
5334,2018-07-26,1808.0
5335,2018-07-27,1817.27
5336,2018-07-30,1779.22
5337,2018-07-31,1777.44
5338,2018-08-01,1797.17
5339,2018-08-02,1834.33
5340,2018-08-03,1823.29
5341,2018-08-06,1847.75
5342,2018-08-07,1862.48
5343,2018-08-08,1886.52
5344,2018-08-09,1898.52
5345,2018-08-10,1886.3
5346,2018-08-13,1896.2
5347,2018-08-14,1919.65
5348,2018-08-15,1882.62
5349,2018-08-16,1886.52
5350,2018-08-17,1882.22
5351,2018-08-20,1876.71
5352,2018-08-21,1883.42
5353,2018-08-22,1904.9
5354,2018-08-23,1902.9
5355,2018-08-24,1905.39
5356,2018-08-27,1927.68
5357,2018-08-28,1932.82
5358,2018-08-29,1998.1
5359,2018-08-30,2002.38
5360,2018-08-31,2012.71
5361,2018-09-04,2039.51
5362,2018-09-05,1994.82
5363,2018-09-06,1958.31
5364,2018-09-07,1952.07
5365,2018-09-10,1939.01
5366,2018-09-11,1987.15
5367,2018-09-12,1990.0
5368,2018-09-13,1989.87
5369,2018-09-14,1970.19
5370,2018-09-17,1908.03
5371,2018-09-18,1941.05
5372,2018-09-19,1926.42
5373,2018-09-20,1944.3
5374,2018-09-21,1915.01
5375,2018-09-24,1934.36
5376,2018-09-25,1974.55
5377,2018-09-26,1974.85
5378,2018-09-27,2012.98
5379,2018-09-28,2003.0
5380,2018-10-01,2004.36
5381,2018-10-02,1971.31
5382,2018-10-03,1952.76
5383,2018-10-04,1909.42
5384,2018-10-05,1889.65
5385,2018-10-08,1864.42
5386,2018-10-09,1870.32
5387,2018-10-10,1755.25
5388,2018-10-11,1719.36
5389,2018-10-12,1788.61
5390,2018-10-15,1760.95
5391,2018-10-16,1819.96
5392,2018-10-17,1831.73
5393,2018-10-18,1770.72
5394,2018-10-19,1764.03
5395,2018-10-22,1789.3
5396,2018-10-23,1768.7
5397,2018-10-24,1664.2
5398,2018-10-25,1782.17
5399,2018-10-26,1642.81
5400,2018-10-29,1538.88
5401,2018-10-30,1530.42
5402,2018-10-31,1598.01
5403,2018-11-01,1665.53
5404,2018-11-02,1665.53
5405,2018-11-05,1627.8
5406,2018-11-06,1642.81
5407,2018-11-07,1755.49
5408,2018-11-08,1754.91
5409,2018-11-09,1712.43
5410,2018-11-12,1636.85
5411,2018-11-13,1631.17
5412,2018-11-14,1599.01
5413,2018-11-15,1619.44
5414,2018-11-16,1593.41
5415,2018-11-19,1512.29
5416,2018-11-20,1495.46
5417,2018-11-21,1516.73
5418,2018-11-23,1502.06
5419,2018-11-26,1581.33
5420,2018-11-27,1581.42
5421,2018-11-28,1677.75
5422,2018-11-29,1673.57
5423,2018-11-30,1690.17
5424,2018-12-03,1772.36
5425,2018-12-04,1668.4
5426,2018-12-06,1699.19
5427,2018-12-07,1629.13
5428,2018-12-10,1641.03
5429,2018-12-11,1643.24
5430,2018-12-12,1663.54
5431,2018-12-13,1658.38
5432,2018-12-14,1591.91
5433,2018-12-17,1520.91
5434,2018-12-18,1551.48
5435,2018-12-19,1495.08
5436,2018-12-20,1460.83
5437,2018-12-21,1377.45
5438,2018-12-24,1343.96
5439,2018-12-26,1470.9
5440,2018-12-27,1461.64
5441,2018-12-28,1478.02
5442,2018-12-31,1501.97
5443,2019-01-02,1539.13
5444,2019-01-03,1500.28
5445,2019-01-04,1575.39
5446,2019-01-07,1629.51
5447,2019-01-08,1656.58
5448,2019-01-09,1659.42
5449,2019-01-10,1656.22
5450,2019-01-11,1640.56
5451,2019-01-14,1617.21
5452,2019-01-15,1674.56
5453,2019-01-16,1683.78
5454,2019-01-17,1693.22
5455,2019-01-18,1696.2
5456,2019-01-22,1632.17
5457,2019-01-23,1640.02
5458,2019-01-24,1654.93
5459,2019-01-25,1670.57
5460,2019-01-28,1637.89
5461,2019-01-29,1593.88
5462,2019-01-30,1670.43
5463,2019-01-31,1718.73
5464,2019-02-01,1626.23
5465,2019-02-04,1633.31
5466,2019-02-05,1658.81
5467,2019-02-06,1640.26
5468,2019-02-07,1614.37
5469,2019-02-08,1588.22
5470,2019-02-11,1591.0
5471,2019-02-12,1638.01
5472,2019-02-13,1640.0
5473,2019-02-14,1622.65
5474,2019-02-15,1607.95
5475,2019-02-19,1627.58
5476,2019-02-20,1622.1
5477,2019-02-21,1619.44
5478,2019-02-22,1631.56
5479,2019-02-25,1633.0
5480,2019-02-26,1636.4
5481,2019-02-27,1641.09
5482,2019-02-28,1639.83
5483,2019-03-01,1671.73
5484,2019-03-04,1696.17
5485,2019-03-05,1692.43
5486,2019-03-06,1668.95
5487,2019-03-07,1625.95
5488,2019-03-08,1620.8
5489,2019-03-11,1670.62
5490,2019-03-12,1673.1
5491,2019-03-13,1690.81
5492,2019-03-14,1686.22
5493,2019-03-15,1712.36
5494,2019-03-18,1742.15
5495,2019-03-19,1761.85
5496,2019-03-20,1797.27
5497,2019-03-21,1819.26
5498,2019-03-22,1764.77
5499,2019-03-25,1774.26
5500,2019-03-26,1783.76
5501,2019-03-27,1765.7
5502,2019-03-28,1773.42
5503,2019-03-29,1780.75
5504,2019-04-01,1814.19
5505,2019-04-02,1813.98
5506,2019-04-03,1820.7
5507,2019-04-04,1818.86
5508,2019-04-05,1837.28
5509,2019-04-08,1849.86
5510,2019-04-09,1835.84
5511,2019-04-10,1847.33
5512,2019-04-11,1844.07
5513,2019-04-12,1843.06
5514,2019-04-15,1844.87
5515,2019-04-16,1863.04
5516,2019-04-17,1864.82
5517,2019-04-18,1861.69
